"location","hits","keyword","geo","gprop","date"
"Georgia",76,"plan B","US","web","2024-10-25 2024-10-26"
"Florida",72,"plan B","US","web","2024-10-25 2024-10-26"
"California",72,"plan B","US","web","2024-10-25 2024-10-26"
"Arizona",67,"plan B","US","web","2024-10-25 2024-10-26"
"Oklahoma",65,"plan B","US","web","2024-10-25 2024-10-26"
"Illinois",63,"plan B","US","web","2024-10-25 2024-10-26"
"Missouri",62,"plan B","US","web","2024-10-25 2024-10-26"
"Alabama",61,"plan B","US","web","2024-10-25 2024-10-26"
"North Carolina",61,"plan B","US","web","2024-10-25 2024-10-26"
"Pennsylvania",57,"plan B","US","web","2024-10-25 2024-10-26"
"New Jersey",57,"plan B","US","web","2024-10-25 2024-10-26"
"Ohio",54,"plan B","US","web","2024-10-25 2024-10-26"
"Virginia",54,"plan B","US","web","2024-10-25 2024-10-26"
"Minnesota",53,"plan B","US","web","2024-10-25 2024-10-26"
"Tennessee",52,"plan B","US","web","2024-10-25 2024-10-26"
"South Carolina",49,"plan B","US","web","2024-10-25 2024-10-26"
"New York",48,"plan B","US","web","2024-10-25 2024-10-26"
"Wisconsin",48,"plan B","US","web","2024-10-25 2024-10-26"
"Kentucky",48,"plan B","US","web","2024-10-25 2024-10-26"
"Michigan",46,"plan B","US","web","2024-10-25 2024-10-26"
"Maryland",44,"plan B","US","web","2024-10-25 2024-10-26"
"Oregon",42,"plan B","US","web","2024-10-25 2024-10-26"
"Indiana",42,"plan B","US","web","2024-10-25 2024-10-26"
"Washington",41,"plan B","US","web","2024-10-25 2024-10-26"
"Massachusetts",37,"plan B","US","web","2024-10-25 2024-10-26"
"Alaska",NA,"plan B","US","web","2024-10-25 2024-10-26"
"New Hampshire",NA,"plan B","US","web","2024-10-25 2024-10-26"
"New Mexico",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Nebraska",NA,"plan B","US","web","2024-10-25 2024-10-26"
"North Dakota",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Montana",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Mississippi",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Maine",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Kansas",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Rhode Island",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Idaho",NA,"plan B","US","web","2024-10-25 2024-10-26"
"South Dakota",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Iowa",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Hawaii",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Utah",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Delaware",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Vermont",NA,"plan B","US","web","2024-10-25 2024-10-26"
"District of Columbia",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Arkansas",NA,"plan B","US","web","2024-10-25 2024-10-26"
"West Virginia",NA,"plan B","US","web","2024-10-25 2024-10-26"
"Wyoming",NA,"plan B","US","web","2024-10-25 2024-10-26"
"New Mexico",100,"abortion clinic","US","web","2024-10-25 2024-10-26"
"Tennessee",26,"abortion clinic","US","web","2024-10-25 2024-10-26"
